Date,Popularity
2017-11-10,44
2017-11-11,44
2017-11-12,44
2017-11-13,44
2017-11-14,44
2017-11-15,44
2017-11-16,44
2017-11-17,44
2017-11-18,44
2017-11-19,44
2017-11-20,44
2017-11-21,44
2017-11-22,44
2017-11-23,44
2017-11-24,44
2017-11-25,44
2017-11-26,44
2017-11-27,44
2017-11-28,44
2017-11-29,44
2017-11-30,44
2017-12-01,44
2017-12-02,44
2017-12-03,44
2017-12-04,44
2017-12-05,44
2017-12-06,44
2017-12-07,44
2017-12-08,44
2017-12-09,44
2017-12-10,44
2017-12-11,44
2017-12-12,44
2017-12-13,44
2017-12-14,44
2017-12-15,45
2017-12-16,45
2017-12-17,45
2017-12-18,45
2017-12-19,45
2017-12-20,45
2017-12-21,45
2017-12-22,45
2017-12-23,45
2017-12-24,45
2017-12-25,45
2017-12-26,45
2017-12-27,45
2017-12-28,45
2017-12-29,45
2017-12-30,45
2017-12-31,45
2018-01-01,45
2018-01-02,45
2018-01-03,45
2018-01-04,45
2018-01-05,45
2018-01-06,45
2018-01-07,45
2018-01-08,45
2018-01-09,45
2018-01-10,45
2018-01-11,45
2018-01-12,45
2018-01-13,45
2018-01-14,45
2018-01-15,45
2018-01-16,45
2018-01-17,45
2018-01-18,45
2018-01-19,45
2018-01-20,45
2018-01-21,45
2018-01-22,46
2018-01-23,46
2018-01-24,46
2018-01-25,46
2018-01-26,46
2018-01-27,46
2018-01-28,47
2018-01-29,47
2018-01-30,47
2018-01-31,47
2018-02-01,48
2018-02-02,48
2018-02-03,48
2018-02-04,48
2018-02-05,48
2018-02-06,48
2018-02-07,48
2018-02-08,48
2018-02-09,48
2018-02-10,48
2018-02-11,48
2018-02-12,48
2018-02-13,47
2018-02-14,47
2018-02-15,47
2018-02-16,47
2018-02-17,47
2018-02-18,47
2018-02-19,47
2018-02-20,47
2018-02-21,47
2018-02-22,47
2018-02-23,47
2018-02-24,47
2018-02-25,47
2018-02-26,47
2018-02-27,47
2018-02-28,47
2018-03-01,47
2018-03-02,47
2018-03-03,47
2018-03-04,47
2018-03-05,47
2018-03-06,47
2018-03-07,47
2018-03-08,47
2018-03-09,47
2018-03-10,47
2018-03-11,47
2018-03-12,47
2018-03-13,47
2018-03-14,47
2018-03-15,47
2018-03-16,47
2018-03-17,47
2018-03-18,47
2018-03-19,47
2018-03-20,47
2018-03-21,47
2018-03-22,47
2018-03-23,47
2018-03-24,47
2018-03-25,47
2018-03-26,47
2018-03-27,47
2018-03-28,47
2018-03-29,47
2018-03-30,47
2018-03-31,47
2018-04-01,47
2018-04-02,47
2018-04-03,47
2018-04-04,47
2018-04-05,47
2018-04-06,47
2018-04-07,47
2018-04-08,47
2018-04-09,47
2018-04-10,47
2018-04-11,47
2018-04-12,47
2018-04-13,47
2018-04-14,47
2018-04-15,47
2018-04-16,47
2018-04-17,46
2018-04-18,46
2018-04-19,46
2018-04-20,46
2018-04-21,46
2018-04-22,46
2018-04-23,46
2018-04-24,46
2018-04-25,46
2018-04-26,46
2018-04-27,46
2018-04-28,46
2018-04-29,46
2018-04-30,46
2018-05-01,45
2018-05-02,45
2018-05-03,45
2018-05-04,45
2018-05-05,45
2018-05-06,45
2018-05-07,45
2018-05-08,45
2018-05-09,45
2018-05-10,45
2018-05-11,45
2018-05-12,45
2018-05-13,45
2018-05-14,45
2018-05-15,45
2018-05-16,45
2018-05-17,45
2018-05-18,45
2018-05-19,45
2018-05-20,45
2018-05-21,45
2018-05-22,45
2018-05-23,44
2018-05-24,44
2018-05-25,44
2018-05-26,44
2018-05-27,44
2018-05-28,44
2018-05-29,44
2018-05-30,44
2018-05-31,44
2018-06-01,44
2018-06-02,44
2018-06-03,44
2018-06-04,44
2018-06-05,44
2018-06-06,44
2018-06-07,44
2018-06-08,44
2018-06-09,44
2018-06-10,44
2018-06-11,44
2018-06-12,44
2018-06-13,44
2018-06-14,44
2018-06-15,44
2018-06-16,44
2018-06-17,44
2018-06-18,44
2018-06-19,43
2018-06-20,43
2018-06-21,43
2018-06-22,43
2018-06-23,46
2018-06-24,49
2018-06-25,52
2018-06-26,56
2018-06-27,59
2018-06-28,62
2018-06-29,65
2018-06-30,65
2018-07-01,65
2018-07-02,65
2018-07-03,65
2018-07-04,65
